id_compuesto,formula,name,nombre,sustituyentes,enlace,densidad_g_mL,peso_molecular_g_mol,k_oh,doi_oh,k_cl,doi_cl,k_no3,doi_no3,k_o3,doi_o3,ap,pocp
54,ClCF2CO2C2H5,Ethyl chlorodifluoroacetate,Etilclorodifluoroacetato,Clorado,Saturado,0,0,5.40E-13,/10.1016/j.cplett.2007.04.071,1.50E-12,/10.1016/j.cplett.2007.04.071,0.00E+00,no hay,0.00E+00,no hay,0,0
55,ClF2CCOOCH3,"Methyl-2-chloro-2,2-difluoroacetate","Metil-2-cloro-2,2-difluoroacetato",Clorado,Saturado,0,0,1.10E-13,/10.1016/j.cplett.2007.04.071,1.00E-13,/10.1016/j.cplett.2007.04.071,0.00E+00,no hay,0.00E+00,no hay,0,0
56,H2C=CHCO2CH2CF3,"2,2,2, -Trifluoroethylacrylate","2,2,2,-Trifluoroetilacrilato",Fluorado,Insaturado,0,0,1.53E-11,/10.1039/c9ra08034a,2.41E-10,/10.1016/j.atmosenv.2018.01.055,0.00E+00,no hay,0.00E+00,no hay,0,0
57,Cl2CHCOOCH3,Methyl dichloroacetate,Metildicloroacetato,Clorado,Saturado,0,0,3.55E-15,Por Publica Vianni,3.31E-13,Por Publica Vianni,0.00E+00,no hay,0.00E+00,no hay,0,0
58,CH3CH=CHCOOC2H5,Ethyl crotonate,Crotonato de etilo,Hidrogenado,Insaturado,0,0,4.96E-11,DOI:https://dx.doi.org/10.1021/jp2113889,2.52E-10,DOI:https://dx.doi.org/10.1021/jp2113889,0.00E+00,no hay,8.00E-18,/10.1016/j.cplett.2013.05.049,0,0
59,C10H16,Ocimene,Ocimeno,Hidrogenado,Insaturado,0,0,2.36E-10,https://doi.org/10.1039/C6RA20321C,5.50E-10,/10.1039/c8ra04931a,0.00E+00,no hay,3.74E-16,/10.1016/j.atmosenv.2016.09.053,0,0
60,CF3CF2CF2COOH,Heptafluorobutyric acid,Ácido heptafluoro butírico,Fluorado,Saturado,0,0,1.71E-13,/10.1021/jp036343b,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
61,HC?CCH2OH,Propargyl Alcohol,Alcohol Propargilico,Hidrogenado,Saturado,0,0,2.05E-11,https://doi.org/10.1039/C5RA19432F,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
62,CH3(CH2)7CHO,Nonanal,Nonanal,Hidrogenado,Saturado,0,0,3.20E-11,https://hal.archives-ouvertes.fr/hal-02485700/document,0.00E+00,no hay,2.00E-14,https://doi.org/10.1021/cr0206420,,,0,0
63,CH3-CH2-COOH,Propionic acid,Acido propionico,Hidrogenado,Saturado,0,0,1.20E-12,https://doi.org/10.1002/kin.550200406,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
64,CH3-CH2-CH2-COOH,n-butyric acid,Acido n-butirico,Hidrogenado,Saturado,0,0,1.79E-12,https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=200902087708531138,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
65, ,Alpha-terpinene,Alfa-terpineno,Hidrogenado,Insaturado,0,0,3.60E-10,https://doi.org/10.1002/kin.550180303,0.00E+00,no hay,1.03E-10,https://doi.org/10.1002/bbpc.19961000410,2.11E-14,https://doi.org/10.1002/kin.550261207,0,0
66,(C2H5)2NH,Diethylamine,Dietil amina,Nitrogenado,Saturado,0,0,1.19E-10,10.1002/kin.20594,0.00E+00,no hay,1.10E-12,https://www.researchgate.net/publication/255979042_Atmospheric_Degradation_of_Amines_ADA_Summary_report_from_atmospheric_chemistry_studies_of_amines_nitrosamines_nitramines_and_amides,1.33E-17,10.3866/PKU.WHXB20100705,0,0
67,CH2=CHCH2SCH3,Methyl allyl sulphide,Metil alil sulfido,Azufrado,Insaturado,0,0,0.00E+00,no hay,0.00E+00,no hay,1.35E-12,https://doi.org/10.1016/0960-1686(92)90124-4,,,0,0
68,(C2H5)3N,Triethylamine,Trietil amina,Nitrogenado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,8.20E-17,10.3866/PKU.WHXB20100705,0,0
69,CF2HCOOH,Difluoroacetic acid,Acido difluoroacetico,Fluorado,Saturado,0,0,0.00E+00,no hay,2.0 E-14,https://doi.org/10.1021/jp020017z,0.00E+00,no hay,0.00E+00,no hay,0,0
70,CH?CH=CHCO?H,Crotonic Acid,Acido Crotonico,Hidrogenado,Insaturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
71,CH3C6H4Cl,4-Chlorotoluene,4-Clorotolueno,Clorado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
72, CH?(COOH)?,Malonic Acid,Ácido Malonico,Hidrogenado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
73,(CH3)2CHCOOH,Isobutyl acid,Isobutil ácido,Hidrogenado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
74,(CH3)2C=CHCH2CH2C(CH3)=CHCH2CH2C(CH3)=CHCH2OH,Trans-trans-farnesol,Trans-trans-farnesol,Hidrogenado,Insaturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
75,F2ClCCOOH,Chlorodifluoro acetic acid,Acido clorodifluoracetico ,Clorado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
76,CH3(CH2)6CHO,Octanal,Octanal,Hidrogenado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
77,(CF3CO)2O,Trifluoroacetic anhydride,Anhidrido trifluoroacetico,Fluorado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
78,CH3C6H4Cl,3-Chlorotoluene,3-Clorotolueno,Clorado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
79,CH3CH2CH2SSCH2CH2CH3,Dipropyl disulfide,Dipropil disulfuro,Azufrado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
80,C2H5SCH=CH2,Ethyl vinyl sulfide,Etil vinil sulfuro,Azufrado,Insaturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
81,(C2H5)2S2,Diethyl disulfide,Dietil disulfuro,Azufrado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
82,C8H16O,2 Ethyl hexanoic acid,2 Etil hexanoico acido ,Hidrogenado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
83,C4H9ClO,1-Chlorobutanol,1-Cloro butanol,Clorado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
84,C6H5CH2NHCH3,Benzyl methyl amine,Bencil metil amina,Nitrogenado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
85,CH2=CHCH2CH2COOH,4-Pentenoic Acid,Ácido 4-Pentenoico,Hidrogenado,Insaturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
86, HOCH?CH?CH?CH?OH,Butanediol,Butanodiol,Hidrogenado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
87, CH3(CH2)3NH2,n-butylamine,n-butilamina,Nitrogenado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
88,Cl3CCO2CH2CH3,Ethyl trichloroacetate,Etil tricloroacetato,Clorado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
89,CH2=C(CH3)COOCH2CH=CH2,Allyl methacrylate,Metacrilato de alilo,Hidrogenado,Insaturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
90,C3H6O3S,"1,3-Propane sulfone","1,3-Propano sulfona",Azufrado,Saturado,0,0,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
91,C3H8,Propane,Propano,Hidrogenado,Saturado,0.493,44.1,0.00E+00,no hay,1.40E-10,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
92,C3H6,Propene,Propeno,Hidrogenado,Insaturado,0.00174,42.08,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
93,C2H6,Ethane,Etano,Hidrogenado,Saturado,0.001282,30.07,0.00E+00,no hay,4.80E-11,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
94,C4H8,isobutene,Isobuteno,Hidrogenado,Insaturado,0.588,56.106,5.07E-11,https://doi.org/10.1021/cr00071a004,3.40E-10,https://doi.org/10.1021/cr00071a004,0.00E+00,no hay,0.00E+00,no hay,0,0
95,C4H10,Butane,Butano,Hidrogenado,Saturado,0.573,58.12,2.38E-12,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
96,(C2H5)2O,Diethyl ether,Dietil eter,Hidrogenado,Saturado,0.713,74.12,1.32E-11,no hay,0.00E+00,no hay,0.00E+00,no hay,0.00E+00,no hay,0,0
